phi_deg;plano_z;Line_A_y;Line_B_z;Line_C;YB;ZB;KN;SZ;S;Volumen_Calculado;Volumen_Error_%;GZ_5.0;GZ_lin_5.0;Error_Lin_5.0_%;GZ_5.15;GZ_lin_5.15;Error_Lin_5.15_%;GZ_5.3;GZ_lin_5.3;Error_Lin_5.3_%
5,0;4,670811702871148;0,08715574274765817;0,9961946980917455;-4,670811702871148;-0,43465513559341723;2,9036080218686626;0,6860672553705327;0,16313279888458365;1090,0955006735135;2281,743999999799;8,808978092714044e-12;0,2502885416322418;0,25097299279789126;0,2734648422919649;0,23721518022009308;0,23788302340793377;0,28153475979954157;0,22414181880794437;0,22479305401797636;0,29054605405428685
5,5;4,664705681823919;0,09584575252022398;0,9953961983671789;-4,664705681823919;-0,47785682607429986;2,907577667376371;0,75433583757885;0,17926132245750614;1089,619116923032;2281,7439999998087;8,39045198423668e-12;0,2751070749777301;0,2760702920776804;0,35012443792231035;0,2607302120996965;0,26167132574872715;0,3609530485369292;0,24635334922166297;0,247272359419774;0,3730455465755092
6,0;4,65802502543518;0,10452846326765347;0,9945218953682733;-4,65802502543518;-0,5209774560351506;2,911919652314362;0,8225019734355192;0,1953311938295984;1089,0944362543173;2281,7439999998137;8,171224022653299e-12;0,2998596570972519;0,30116759135746957;0,43618213696332486;0,28418038760710385;0,2854596280895206;0,45015086832289003;0,2685011181169559;0,26975166482157165;0,4657510230817923
6,5;4,650773262054735;0,11320321376790672;0,9935718556765875;-4,650773262054735;-0,5640120337787672;2,916632672106864;0,8905586748884702;0,21133939228102983;1088,5386569184925;2281,743999999822;7,812487358244129e-12;0,32454260604893653;0,32626489063725866;0,5306805812924406;0,3075621239837505;0,30924793043031396;0,5481190026677445;0,29058164191856456;0,2922309702233693;0,5675954936158584
7,0;4,642949188896196;0,12186934340514748;0,992546151641322;-4,642949188896196;-0,6069629996808602;2,921716230634673;0,9585064281655208;0,22729036773463596;1088,230082380213;2281,743999999769;1,0124345862214331e-11;0,34915971113978345;0,3513621899170478;0,6307940770356022;0,33087930962901124;0,33303623277110733;0,6518761008400547;0,3125989081182392;0,3147102756251669;0,6754238265378334
7,5;4,6345488990115555;0,13052619222005157;0,9914448613738104;-4,6345488990115555;-0,6498318540030246;2,9271698078732893;1,0263447814115152;0,24318762809120575;1087,7911564606566;2281,7439999997605;1,0503012341312899e-11;0,3737138203112573;0,3764594891968369;0,7346982467206555;0,35413489147824956;0,35682453511190065;0,7594969313596396;0,3345559626452419;0,3371895810269645;0,7871981598831198
8,0;4,625577132401237;0,13917310096006544;0,9902680687415704;-4,625577132401237;-0,692607891449708;2,932991337488555;1,0940609785883657;0,259022372827973;1087,2835968482577;2281,7439999997564;1,0682380673517483e-11;0,39819547378803843;0,40155678847662607;0,8441368397815795;0,3773195086440286;0,3806128374526941;0,8728222986669119;0,35644354350001883;0,35966888642876216;0,904867822004231
8,5;4,616036470038769;0,14780941112961063;0,9890158633619168;-4,616036470038769;-0,735283921325992;2,9391790304986625;1,161645783968869;0,27478931719120525;1086,7484826531243;2281,7439999997505;1,094146826447966e-11;0,4225987283208159;0,4266540877564152;0,9596241455134451;0,4004273166513742;0,40440113979348746;0,9923956175979373;0,37825590498193273;0,38214819183055987;1,0290088792699876
9,0;4,60592928700039;0,15643446504023087;0,9876883405951378;-4,60592928700039;-0,7778547585569634;2,945731271922387;1,2290919713786161;0,2904851811372309;1086,2102301023938;2281,7439999997464;1,1120836596684246e-11;0,4469196461774617;0,4517513870362043;1,0811207115348047;0,4234544764214271;0,4281894421342808;1,1181758551399523;0,3999893066653925;0,40462749723235747;1,1595786411472742
9,5;4,595258664693519;0,16504760586067765;0,9862856015372314;-4,595258664693519;-0,8203194541676126;2,9526470540430325;1,2963965935277826;0,3061109583637167;1085,6703326935767;2281,7439999997387;1,1459643446404016e-11;0,4711585642243944;0,4768486863159935;1,2076872890904513;0,44640142334529265;0,4519777444750742;1,2491718973459167;0,4216442824661911;0,4271068026341551;1,2955281015584519
